ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
15,Desain Interior Rumah,3D Modelling,"Rp 250,000 - 300,000",7,"Saya lagi butuh design interior rumah, ukuran rumah 6 * 15 Meter, sudah terbangun 6 * 9 Meter, rencana mau bangun sisa tanah di belakang 6*3 meter,  pengen ada kitchen set, laundry room, ruangan kerja kecil dan kamar mandi (optional) kalau harga cocok mau sekalian full yg 6 * 15 tpi lebih urgent yg 6 * 3",,,,,,,,,,,,,,,,,,,,
16,Penyebaran Kuisoner Penelitian dengan Google Form,SPSS,"Rp 300,000 - 400,000",7,"Hi teman-teman, saya membutuhkan orang yang bisa menyebarkan kuisoner penelitian saya tentang kepuasan wisatawan mengunjungi ekowisata mangrove. Kuisoner dilakukan dengan Google form dengan syaratnya sebagai berikut : 1. Responden sebanyak 250 dengan usia antara 30- 41 tahun 2. Pernah mengunjungi ekowisata mangrove di Batam atau Bintan atau Tanjungpinang  3. Responden boleh wisatawan nunsantara dan wisatawan mancanegara",,,,,,,,,,,,,,,,,,,,
17,Custome CSS untuk Theme Wordpress,Wordpress,"Rp 150,000 - 150,000",7,"Saya ada theme wordpress yang perlu bantuan custome css case nya hanya satu custome sesuai demo, demo akan saya berikan dan full akses, hanya custome css overlay aja.  Silahkan jika ada yang bersedia bisa bid dan saya akan berikan detailnya.",,,,,,,,,,,,,,,,,,,,
18,Tweet data,Data Analysis,"Rp 100,001 - 500,000",2,"Saya mencari freelancer yang bisa collect tweets terkait topik tertentu (see keywords and tweet period). Data tidak perlu dianalisis, hanya collected. Kandidat yang ideal tentunya memiliki pengalaman collect Tweet data dan lebih disukai jika bisa diajak berdiskusi terkait topik Tweet data from : Indonesian twitter users Tweet period : November 2022 - April 2023 Language : Bahasa Indonesia Related topic : - generative artificial intelligence - generative ai - Gen AI - ai platform - aplikasi ai - konten ai - artificial intelligence - website ai Note: File format: csv",,,,,,,,,,,,,,,,,,,,
19,Tenaga Pelatih MS Excel,Microsoft Excel,"Rp 15,000,000 - 18,000,000",90,"Kami membutuhkan freelancer Sebagai Tenaga Pelatih untuk mengajar MS Excel   ketentuan  mengajar 5 hari dalam seminggu  (senin - jumat) 1 hari 3 sesi mengajar, sbb :  Sesi pagi 09.00 - 12.00  Sesi siang 13.00 - 15.00  Sesi sore 17.00 - 20.30  rutin setiap hari hanya untuk yang bisa fulltime  kontrak 3 bulan selama project berlangsung. Syarat : Pengalaman di bidang Kerja atau Pengalaman Mengajar   Memiliki kualifikasi kompetensi yang relevan, yang dibuktikan dengan riwayat pengalaman 5 tahun di bidang yang relevan dengan Bidang Excel  - Memiliki Sertifikat kompetensi Excel Punya Akun Linkedin dan Mau di update untuk disesuaikan dengan profile Tenaga Pelatih",,,,,,,,,,,,,,,,,,,,
20,Butuh Freelancer Fotografer/Videografer,Photography,"Rp 1,000,000 - 1,200,000",7,"Halo Freelancers, Saat ini tim kami lagi butuh freelancer fotografer untuk keperluan dokumentasi acara perusahaan. Acara ini adalah pameran alat2 kapal laut. Acara perusahaan tersebut kebetulan berada di tanggal 17 Mei jam 10.30-15.00.  Lokasi di Jiexpo Kemayoran, Jakarta Pusat. Tugas: Meliput kegiatan. Tidak perlu selalu stand by selama 4 jam. Karena ini hanya acara pameran. Rekam short video terkait acara dengan durasi 10-15 detik. (ini bisa pakai hp, untuk keperluan IG story) Total foto: 30 Total short video: 5 Foto dan video di edit dengan rapi...",,,,,,,,,,,,,,,,,,,,
21,Pembuatan Rest Api dengan Node JS,Web Programming,"Rp 1,000,000 - 2,000,000",7,"Saya memerlukan backend developer untuk membuat rest api untuk aplikasi android ada sekitar 13 endpoint,dengan sistem pembayaran midtrans dan pembuatan callback midtrans saya menggunakan database postgresql dan ingin rest api nantinya di deploy di GCP jika memiliki pengalaman sesuai diatas silahkan di bid",,,,,,,,,,,,,,,,,,,,
22,Pembuatan PHP Script JSON,Web Programming,"Rp 200,000 - 500,000",2,"Selamat Siang. Saya ada kebutuhan untuk pembuatan script php untuk sumber dari JSON, yang saat ini saya buat sendiri ada masalah ketika ada dalam jumlah banyak untuk menulis ke MySQL, lebih dari 1 data dalam 1 JSON. Terlampir sumber data dari JSON-nya, Ini pakainya php input, bukan dari folder. Dari JSON, ke php input kemudian nulis ke MySQL.",,,,,,,,,,,,,,,,,,,,
23,Pembuatan website company profile,Web Programming,"Rp 1,000,000 - 3,000,000",14,"Halo, kami ingin membuat website: Bisa menampilkan gallery gambar Memiliki fitur multi admin Memungkinkan untuk dikelola sendiri  Dua bahasa Mobile friendly SEO friendly  Jika tertarik, mohon mengirimkan penawaran + contoh website yang sudah dibuat. Terima kasih.",,,,,,,,,,,,,,,,,,,,
24,Pembuatan API Payment Gateway,Web Programming,"Rp 500,000 - 700,000",3,"Saya perlu programmer yang terbiasa membuat API untuk payment gateway. Saya ingin dibuatkan aplikasi website sederhana dengan PHP native tidak perlu ada CSS. Setelah aplikasi tersebut jadi, mohon programmer tersebut menjelaskan alur & API dari aplikasi yang dibuat. Payment gateway yang digunakan boleh Midtrans. Semua respons dari API disimpan ke database mysql. ",,,,,,,,,,,,,,,,,,,,
25,Pembuatan Website Laundry,Web Programming,"Rp 2,100,000 - 4,200,000",15,"Hi workers! Urgent!. To d Point Saya mencari jasa pembuatan website laundry yang mana nanti nya customer bisa cek status langsung di website.  dengan ketentuan. 1. Domain menggunakan .com 2. Hosting Personal 3. Custom HTML CSS 4. Page admin untuk ubah status laundry Silahkan bid dengan menyertakan Rincian Biaya, lampirkan portofolio, sertakan nomor telp/email yang bisa dihubungi. Trimakasih. Contoh file rincian biaya saya berikan di bawah.",,,,,,,,,,,,,,,,,,,,
26,"Cek mutasi E-Wallet ( OVO, DANA, GO-PAY ) & Pulsa ( Tsel, XL,Tri ) )",Web Programming," Rp 500,000 - 1,000,000",3,"Dicari yang bisa membuat Dashboard AutoCekMutasi E-Wallet (Ovo, Gopay, Dana) + Pulsa (Tsel, XL, Tri) untuk keperluan Toko Online.",,,,,,,,,,,,,,,,,,,,
27,Cari Akun Canva Creator Element atau Template,Graphic Design,"Rp 1,000,000 - 3,000,000",7,Yang punya akun canva creator element atau canva creator template yang tidak terawat dan mau dijual biar saya rawat,,,,,,,,,,,,,,,,,,,,
28,Dibutuhkan Tim Developer Untuk Membuat Sistem Booking Venue atau Lapangan,Web Programming,"Rp 5,000,000 - 9,000,000",7,"Saat ini kami sedang membutuhkan developer atau tim developer untuk membuat booking venue atau lapangan Secara garis besar sistem ini akan digunakan oleh management lapangan untuk mengatur lapangan mereka Fitur  - Lapangan : untuk mengatur detail lapangan - Booking : untuk melihat jadwal lapangan yang sudah dibooking (dalam bentuk calendar mingguan atau bulanan) - Web Front : Web untuk pelanggan melakukan booking - Pelanggan : berisi informasi pelanggan yang pernah booking sebelumnya - dan fitur pendukung lainnya - mobile app (web app) Persyaratan - Bertanggung jawab dalam pekerjaan - Memiliki Komunikasi yang baik - Memiliki pengalaman membuat sistem ERP akan menjadi nilai lebih - Dapat membuat system dengan UI yang rapih  Untuk teknologi, kami sangat terbuka dengan rekomendasi dari tim anda",,,,,,,,,,,,,,,,,,,,
29,Dibutuhkan UI/UX designer untuk Membuat Sistem ERP,UI/UX Design,"Rp 1,000,000 - 2,000,000",7,Dibutuhkan UI/UX designer untuk membuat design tampilan ERP Output design adalah Web Dashboard dan juga Mobile app Persyaratan - Bertanggung jawab dalam pekerjaan - Memiliki Komunikasi yang baik - Memiliki pengalaman membuat sistem ERP akan menjadi nilai lebih - Memiliki pemikiran yang kritis untuk membuat flow yang efficient - Mahir dalam menggunakan Figma - Mampu membuat design UI/UX yang clean dan terstruktur Tolong lampirkan portfolio pada tawaran anda,,,,,,,,,,,,,,,,,,,,
30,Program excel perhitungan transfer panas,Data Analysis,"Rp 200,000 - 500,000",14,"Dear teman2 project, saya membutuhkan program excel, untuk perhitungan transfer panas, dari pompa hingga ke media yang ingin dipanaskan, disini media yang ingin dipanaskan itu berputar, dan transfer oli panas menggunakan pipa, bisakah teman2 project membantu saya?? jika ada yang bisa, berikan penawaran harga terbaiknya, terima kasih",,,,,,,,,,,,,,,,,,,,
31,Dicari penulis artikel yang sanggup memosting di media terkenal,Content Writer,"Rp 110,000 - 500,000",7,"https://www.indosniper.com  |  Project ke-55 saya. Saya mencari worker yang bisa melakukan 2 hal sbb: 01. Membuat artikel tentang Senapan Angin Merk Goppul - Night Furry yang SEO friendly. No plagiarism, dibuktikan dengan Copyscape, 1text, Smallseotools, atau lainnya. Informatif, padat dan tidak berputar-putar mengejar target kata. Soft-selling utk perkenalan produk senapan angin milik saya sesuai yang ada di https://www.indosniper.com Gaya bahasa kekinian tapi juga harus sesuai kaidah EYD termasuk penggunaan huruf besar, tanda baca dan lainnya...",,,,,,,,,,,,,,,,,,,,
32,Scraper dan Adder Grup telegram,Data Analysis,"Rp 350,000 - 500,000",5,Tugas Worker : Menscrape anggota grup target yang ingin di invite ( Target dari saya ) Melakukan Adder (Invitation) ke Grup saya ( Saya bukan cari script atau bot yah ) saya butuh jasa scraper dan adder Jika ketahuan asal add diluar target grup akan langsung arbitrase List grup target saya sediakan USAHAKAN MEMAHAMI UPDATE PRIVASI TELEGRAM TERBARU Pahami Projects nya & BID cantumkan WA untuk saya hubungi Target adder minimal 5000 member  kinerja bagus bisa longterms work,,,,,,,,,,,,,,,,,,,,
33,Membuat Sistem Accounting,Web Programming,"Rp 4,000,000 - 7,000,000",40,"Saat ini kami sedang membutuhkan developer atau tim developer untuk membuat sistem accounting sistem ini akan mengikuti flow https://akaunting.com/ secara functional, namun harus memiliki fitur double entry dan juga inventaris. Persyaratan - Bertanggung jawab dalam pekerjaan - Memiliki Komunikasi yang baik - Memiliki pengalaman membuat sistem ERP akan menjadi nilai lebih - Dapat membuat system dengan UI yang rapih  Untuk teknologi saat ini kami lebih cenderung menggunakan PHP, tapi terbuka untuk masukan dari dev...",,,,,,,,,,,,,,,,,,,,
34,Pembuatan Website Company Profile,Web Programming,"Rp 2,500,000 - 2,900,000",30,"Mebuat Website Company perusahaan 2 bahasa dengan fitur antara lain namun tidak terbatas pada: Website yang Responsive & User Friendly Mobile friendly Design profesional, menarik, Modern, dan Rapi  Full Dinamis dan Fast loading  Memungkinkan untuk mengelola dan menampilkan gallery gambar/video produk Memungkinkan untuk mengelola halaman website Memungkinkan untuk Fitur multi admin Memungkinkan untuk mengelola slider (gambar bergerak) Memungkinkan untuk Integrasi social media Memungkinkan untuk fitur Chat Online / Chat WhatsApp & Line Terdapat fitur mengelola pesan/email Fitur Dual bahasa/bahasa dapat diganti-ganti Terdapat Statistik kunjungan  Anti copy protection SEO Optimization dan terindex Google",,,,,,,,,,,,,,,,,,,,
35,Buat website rebate cashback forex ib,Web Programming,"Rp 2,000,000 - 5,000,000",14,"Hanya untuk yg ber pengalaman serupa aja, web dev yg uda pernah buat website utk ib forex broker, Tentang rebate n cashback. spec platform/ bahasa pemrograman : bebas. Hari: 30 days maxx konsep, semua clients yang join u/ trading forex ke broker tsb dr IB links/ affiliate links ini website, akan kita set untuk auto rebate (cashback). Tlg info Kan portfolio km ttg ini ya. Forex broker nya sy info Kan utk yg cocok aja.",,,,,,,,,,,,,,,,,,,,
36,Instagram Feed & Story Content,Graphic Design,"Rp 750,000 - 1,250,000",7,"Dibutuhkan segera freelancer  dengan karakter : Teliti membaca dan memahami brief Proaktif bertanya jika ada yang tidak mengerti Proaktif memberikan masukan mengenai brief/revisi Tidak berkompromi terhadap deadline apapun alasannya Detail dalam bekerja sehingga hasil maksimal Selalu melakukan QC sebelum mengirimkan hasil untuk mencegah revisi berulang Responsif, sopan, dan bertanggung jawab. Menjaga kerahasiaan project dan tidak menggunakan hasil project untuk kepentingan pribadi atau komersial lainnya Untuk mengerjakan desain konten Instagram Feed & Story  dengan  ketentuan : 7 Brand Template untuk Instagram Feed & Story Content (tanpa content)...",,,,,,,,,,,,,,,,,,,,
37,Notifikasi di googlesheet berdasarkan tanggal,Microsoft Excel,"Rp 150,000 - 300,000",10,Notifikasi di googlesheet berdasarkan tanggal (jatuh tempo) misal tanggal 1 mei 2023 jatuh tempo 2 mei 2023 (sinkron) maka dia akan memberikan notifikasi.....,,,,,,,,,,,,,,,,,,,,
38,Buat logo kantor pengacara,Graphic Design,"Rp 150,000 - 200,000",1,"Buat logo untuk kantor pengacara, yg kekinian fresh tidak mainstream & enak dilihat. Menonjolkan kepercayaan",,,,,,,,,,,,,,,,,,,,
39,Membuat Web Manga Auto Grab,Web Programming,"Rp 2,000,000 - 2,500,000",7,"Hi workers, saya sedang mencari seseorang yang bisa membantu saya membuatkan website manga auto update, yang saya butuhkan yaitu: Auto Add Manga Baru Auto update Chapter Baru Bisa update dari beberapa sumber (grab dari beberapa situs) File masuk ke database sendiri (hosting) Jika ada saran dan masukan bisa info",,,,,,,,,,,,,,,,,,,,
40,Website SEO Saham,Search Engine Optimization (SEO),"Rp 1,000,000 - 3,000,000",7,Tolong untuk melakukan on page dan off page SEO untuk website sahamgorengan.com dengan kata kunci 1. Rekomendasi saham 2. Saham gorengan 3. Saham indonesia 4. Ihsg hari ini Kata kunci harus mencapai page 1 google / top 10 keyword,,,,,,,,,,,,,,,,,,,,
41,tambah plugins/fitur chat konsultasi,Wordpress,"Rp 300,000 - 500,000",3,"improve/tambahkan fitur chat/konsultasi pengacara menggunakan plugins atau sejenisnya jenis konsultasinya berbayar bisa tambahkan kode promo dll. untuk menerima pembayaran menggunakan payment gateway. refrensi : justika.com  informasi : - websitenya sudah berjalan, tinggal di improve - dgn penambahan ini tetap harus mobile friendly dan use friendly ui/ux",,,,,,,,,,,,,,,,,,,,
42,buat landing page menarik,Wordpress,"Rp 200,000 - 300,000",2,"buatkan landing page promosi training pramugari / penerbangan yang menarik, copywriting yg bagus, user friendly, ui/ux bagus di dalam domain kita menggunakan wordpress informasi : - website sudah ada, tinggal tambah page/plugins untuk design dll  - integrasikan konversi dgn fb pixel, google tag",,,,,,,,,,,,,,,,,,,,
43,Dibeli Akun Google Adsense untuk Website,Wordpress,"Rp 1,000,000 - 5,000,000",30,"Dicari untuk dibeli, Akun Google Adsense untuk website, sudah PIN, PIN + PO, atau fresh Tulis Spek: ✅ Adsense untuk blog/website ✅ Email utama ✅ Iklan tayang 100% ✅ Infokan sudah PO/PIN atau fresh ✅ apakah ada domain yg terhubung Mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas. Terimakasih",,,,,,,,,,,,,,,,,,,,
44,Cari orang IT yang bisa balikin akun Instagram yang ke banned,Social Media,"Rp 1,000,000 - 1,200,000",7,"Buat teman2 yang bisa balikin akun instagram yang ke banned mohon info, akun saya seperti sengaja dilenyapkan direport secara brutal walau postingan tidak melanggar dan akhirnya ke banned",,,,,,,,,,,,,,,,,,,,
45,Butuh bantuan dalam pembuatan sistem virtual reality desain konstruksi,Architecture Tutorial/Assistant 3D Rendering,"Rp 5,000,000 - 10,000,000",30,"Selamat siang Saya butuh bantuan dalam pembuatan sistem virtual reality desain konstruksi Mungkin gambarannya seperti video berikut  https://youtube.com/watch?v=VxQ6gFQlDxU Jadi desainner membikinkan desain, kemudian customer bisa melihat desainnya melalui kacamata VR",,,,,,,,,,,,,,,,,,,,
46,Analisis sentimen dengan k means,Data Analysis,"Rp 200,000 - 400,000",3,"Saya sudah buat analisi sentimen dgn kemana, tapi ada kendala dibagian akurasi evaluasi. Pengukuran evaluasi nya menggunakan  sillhouett Coefficient, Hanya tinggal mengukur evaluasi aja. Saya mengerjakan nya dirapid miner",,,,,,,,,,,,,,,,,,,,
47,Update Fitur Aplikasi event berbasis Website PHP Native,Web Programming,"Rp 700,000 - 1,500,000",25,"Saya mengerjakan sistem manajemen event berbasis Website, pakai Native PHP versi 5.   Butuh tambahan personil untuk:   - Menambah fitur seperti: dashboard statistik, manajemen role, pengaturan, manajemen voucher,harga, manajemen langganan, metode pembayaran.    - Cek fitur yg sdh ada, perbaiki tampilan/update.   Yg sdh dibuat native PHP 5, theme botstrap metronic V5.",,,,,,,,,,,,,,,,,,,,
48,Rubah sistem wallet dari Laravel ke node js,Flutter,"Rp 1,000,000 - 2,000,000",7,"Saya ada template wallet backend Laravel mau di rubah ke node js dengan aplikasi flutter, silahkan bid jika sudah terbiasa dengan wallet aplikasi dan top up via visa, sertakan wa",,,,,,,,,,,,,,,,,,,,
49,Pelaporan SPT Badan Usaha,Financial Planning,"Rp 600,000 - 1,000,000",7,"Dibutuhkan jasa pelaporan spt, laporan keuangan sudah selesai dan dibutuhkan untuk melaporkan SPT untuk badan usaha",,,,,,,,,,,,,,,,,,,,
50,Admin CS Online Shop,Social Media,"Rp 350,000 - 500,000",60,"Pekerjaan menjadi cs toko online di toko shopee,lazada,tokped selama 1 minggu kami, list harian- balas chat- balas kolom diskusi",,,,,,,,,,,,,,,,,,,,
51,Penambahan Fitur Aplikasi Web Nodejs/Reactjs,Web Programming,"Rp 1,000,000 - 2,500,000",14,Kami memiliki beberapa aplikasi yang berjalan dengan NodeJs/Reactjs yang mengguna mongodb dan sql server. Saat ini ada beberapa pekerjaan yang perlu dilakukan : Penambahan Pilihan ProdukPerhitungan Akumulasi premi Silahkan diajukan penawarannya,,,,,,,,,,,,,,,,,,,,
52,Visual Novel Typing Games Unity2D,Unity,"Rp 1,000,000 - 1,500,000",30,Dear workers Kali ini saya membutuhkan pembuatan game 2d Unity. Di genre typing games + visual novel.  Visual novel seperti doki2. Namun dgn trigger typing seperti game type racer. Genre ini sudah ada yg buat tp belum rilis. Outputnya saya butuh framework saja. Asset dan video cutscenes dari ak atau cukup pakai dummy asset sementara.  Selama proses pengerjaan workers di harapkan memberikan update progress via zoom setiap minggu nya. Cantumkan no wa. Nanti ak kirim gdd dan game referensi nya. micro mechanic yg tercover misal. Highlight teks ketika typingError warning ketika salah pengetikanOpsi pilihan ganda Saving systemStory flow si visual novel nya  ,,,,,,,,,,,,,,,,,,,,
53,Membuat Proposal dengan chatgpt saja,Content Writer,"Rp 450,000 - 500,000",7,Membuat proposal  kolektif 50 proposal satu proposal berisi 400 kataboleh menggunakan chat gptsertakan pekerjaan sejenis sebelumnya yg pernah dikerjakan,,,,,,,,,,,,,,,,,,,,
54,Software registrasi tamu dan print id,Web Programming ,"Rp 1,000,000 - 3,000,000",12,Butuh Software untuk input penerima tamu seminarKemudian foto wajah serta print ke kertas foto template.Data yang di print : foto wajah + nama peserta,,,,,,,,,,,,,,,,,,,,
55,Dicari Akun Google Adsense Indonesia Non Hosted untuk Web,Internet Marketing ,"Rp 750,000 - 3,500,000",99,"Dicari Akun Google Adsense Indonesia Non Hosted Lama kalo bisa dashboard Dollar (2015 awal ke bawah) atau yang baru tidak apa2. untuk yg baru diusahakan ada domain yg terhubung.Tulis Spek: Adsense untuk blog/website , Email utama, Iklan tayang 100%, Infokan sudah PO/Pin atau fresh, apakah ada domain yg terhubung. Mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.",,,,,,,,,,,,,,,,,,,,
56,Penulis blog,Content Writer,"Rp 350,000 - 500,000",7,Dibutuhkan penulis bertemakan ketenagakerjaan dan hukum.- diutamakan pendidikan berlatarbelakang hukum;- 5 artikel- minimal 1000 kata per artikelKirimkan sample tulisan dan fee yang diinginkan.,,,,,,,,,,,,,,,,,,,,
57,Dibeli Akun Adsense tahun 2013 - 2015 untuk Website,Web Programming ,"Rp 500,000 - 1,000,000",70,"Dicari untuk dibeli, Akun Adsense tahun 2013 - 2015 untuk website, sudah PIN, PIN + PO. Tulis Spek: Adsense untuk blog/website, Email utama, Iklan tayang 100%, Infokan sudah PO/PIN berapa kali , apakah ada domain yg terhubung. Mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas. Terimakasih",,,,,,,,,,,,,,,,,,,,
58,Develop video,Video Editing ,"Rp 250,000 - 500,000",7,"Dicari content creator untuk membuat 1 video promosi untuk website saya. Video akan digunakan untuk mempromosikan situswebsite saya. Durasi video sekitar 15-30 detik Isi video menarik, dan tidak membosankan biaya jasa boleh request lebih  dari yang ditayangkan, namun harus ada model berpenampilan cantik dan menarik untuk  website saya ataupun iklan saya di youtubetinggalkan project yg pernah di buat beserta nomer wa anda. terima kasih. Admin Note: Dilarang mencantumkan ataupun meminta kontak pribadi pada Deskripsi Project ataupun pada link yang Anda cantumkan. Semua komunikasi harus dilakukan melalui fasilitas yang sudah disediakan projects.co.id. Saat ini fasilitas komunikasi diprojects.co.id sudah sangat memadai, silahkan gunakan fasilitas yang ada.",,,,,,,,,,,,,,,,,,,,
59,BIMBINGAN PEMBUATAN THESIS S2,Data Analysis ,"Rp 2,000,000 - 2,500,000",20,"Halo Gan, Saya sedang mencari bimbingan penelitian di bidang pendidikan anak usia dini bagian psikologi dengan topik self-regulation learning (SRL) yang hasilnya akan saya jadian karya ilmiah. dengan rincian sebagai berikut :Minimal Master degree , pernah mengerjakan thesis dan menguasai kualitatifBerpengalaman dengan psikologi anak Menguasai Self-regulated learning theoryPembuatan thesis dengan Bahasa Inggris dengan baik Memperkuat teori dan siap revisi chapter 1, 2, dan 3.Membuat analisa data dan conclusionAPA 7 StyleTurnitin dibawah 28Komunikasi dengan saya agar dapat ikut terlibat (Zoom/Webex) minimal 3 hari sekaliNo plagiarism content Admin Note: Dilarang mencantumkan ataupun meminta kontak pribadi pada Deskripsi Project ataupun pada link yang Anda cantumkan. Semua komunikasi harus dilakukan melalui fasilitas yang sudah disediakan projects.co.id. Saat ini fasilitas komunikasi diprojects.co.id sudah sangat memadai, silahkan gunakan fasilitas yang ada.",,,,,,,,,,,,,,,,,,,,
